Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,"39,04,70,936","30,716","19,66,31,588",92,"8,42,74,754","17,13,126","57,67,700","65,15,65,900","5,33,22,81,936","15,05,97,040",210,"40,975",684,62,"1,75,98,718",114,"1,80,04,655","22,931","48,18,457","26,69,262",,0
Not Like Us,Not Like Us,Kendrick Lamar,05-04-2024,USUG12400910,2,545.9,"32,37,03,884","28,113","17,45,97,137",92,"11,63,47,040","34,86,739","6,74,700","3,52,23,547","20,83,39,025","15,63,80,351",188,"40,778",3,67,"1,04,22,430",111,"77,80,028","28,444","66,23,075","11,18,279",,1
Nice to Meet You,Nice to Meet You,Imagine Dragons,5/24/2024,USUM72404007,"2,623",27.5,"1,50,62,636","1,446","3,99,11,356",75,"45,07,011","1,12,133","1,034","5,70,876","63,72,350","11,20,54,624",40,258,,29,"8,94,139",29,"10,20,471",224,,"27,497",,0
Verte Ir,Verte Ir,DJ Luian,3/28/2019,QZ7B81700011,"2,622",27.5,"55,09,67,367","65,928","1,89,45,081",64,"72,84,68,384","34,73,098","11,200","19,30,550","2,08,47,094","13,71,02,567",35,"3,884",17,7,"2,93,349",12,"7,37,00,065","8,531",,"13,53,531",,0
Pink + White,Blonde,Frank Ocean,8/20/2016,QZ5C81600003,"2,642",27.4,"1,29,96,50,856","2,28,950","7,17,08,447",83,"15,80,16,588","12,86,636","1,30,802","6,83,03,456","44,20,90,971","4,55,453",163,"6,091",221,46,"12,75,701",41,"2,48,19,579","19,292","90,43,608","21,87,716",,0
Mother,Takin' It Back (Deluxe),Meghan Trainor,03-04-2023,USSM12300425,"2,640",27.4,"7,97,38,242","12,390","22,74,976",57,"5,11,24,809","8,45,191","7,02,284","22,47,08,419","2,67,88,19,017","43,18,70,420",15,"54,053","1,088",4,"7,837",7,"83,18,506","13,444",,"5,38,792",,1
Flashback (feat. Gazo),Flashback,Favï¿,9/15/2023,DGA082396900,"2,654",27.4,"8,80,14,813","16,418","47,88,967",66,"5,30,97,639","3,93,538","99,500","32,76,455","2,65,17,142","11,81,25,080",10,"6,432",,15,"54,75,765",12,13,,"4,10,078","5,41,305",,1
Space Song,Depression Cherry,Beach House,8/21/2015,USSUB1512203,"2,646",27.4,"1,09,90,69,598","2,61,122","7,10,73,470",73,"12,75,34,602","16,60,824","4,96,525","33,87,53,643","2,58,81,57,478","35,93,056",88,"4,491",9,14,"2,64,505",38,"2,44,47,183","25,737","1,60,00,671","78,87,047",,0
OKAY,OKAY (Versions),JT,4/24/2024,USUG12400080,"2,641",27.4,"1,64,46,111","1,966","3,65,76,049",65,"55,78,963","1,38,920",,,,,33,370,29,5,"86,874",42,"16,87,958","1,032","9,80,462","1,78,540",,1
Rude,Rude,MAGIC!,7/23/2013,TCABP1349192,"2,650",27.4,,"1,472","2,87,308",,"2,54,10,95,833","1,24,72,238",,,,"1,74,31,56,344",,,,,,,,,,,,0
Chill Bill,The RCA-List (Vol. 2),Rob $tone,01-01-2016,USRC11601124,"2,649",27.4,"84,38,61,768","1,55,472","2,03,40,958",70,"27,81,20,145","26,25,552","18,775","26,69,418","1,67,56,000","10,75,983",30,600,49,18,"99,006",,"34,62,03,131","4,41,719",,"44,09,923",,1
My Way,My Way,Calvin Harris,9/16/2016,GBARL1601358,"2,636",27.4,"1,01,45,34,913","1,32,592","4,19,64,503",73,"61,59,07,345","34,61,084","4,53,551","1,02,68,320","5,60,11,096","17,13,05,180",146,"51,151",10,99,"6,07,512",10,"11,10,67,662","33,355",,"83,39,785",,0
Big City Life,Big City Life,Luude,6/16/2022,AUDCB1702119,"2,653",27.4,"18,13,23,700","71,547","1,34,71,679",65,"1,75,10,125","1,16,193","37,362","1,25,50,708","16,07,30,392","1,61,09,408",23,"16,173",,4,"4,860",2,3,,"59,48,682","7,80,420",,0
Luchï¿½ï¿½ La,Luchï¿½ï¿½ La Ley - Si,BoomBoxRepairKit,5/20/2022,QZHN62294886,"2,645",27.4,,,,,"51,10,29,390","16,11,310",,,,,,1,,,,,,,,10,,0
Wife,Wife,(G)I-DLE,1/21/2024,KRA392300032,"2,643",27.4,"5,89,09,647","3,850","1,24,72,972",,"6,57,60,732","13,41,331",,,,"1,40,57,13,659",3,288,,1,"1,51,363",13,"1,30,093",122,,"82,069",,0
'Till I Collapse,The Eminem Show,Eminem,5/26/2002,USIR10211066,"2,651",27.4,"1,95,88,09,069","2,82,888","7,40,55,843",79,"1,46,35,49,979","1,09,18,289","41,045","61,51,095","5,43,56,279","32,43,14,535",83,"1,714",25,37,"9,24,049",29,"61,89,98,662","12,09,416",,"48,12,702",,1
No Hands (feat. Roscoe Dash & Wale),No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,09-06-2010,USWB11002103,"2,655",27.4,"66,22,57,934","1,13,043","3,17,39,594",71,"46,44,62,597","32,15,886","7,07,886","21,53,70,319","1,51,16,50,572","2,22,68,968",58,"4,835",20,7,"3,709",11,"93,97,08,588","10,49,157",,"42,25,673",,1
Jumbotron Shit Poppin,Her Loss,Drake,11-04-2022,USUG12208610,"2,635",27.4,"12,62,96,463","44,782","44,07,877",62,"3,77,02,345","5,28,716","23,780","86,79,451","7,08,17,893","14,63,98,901",22,841,,1,891,,"50,94,223","3,119","97,31,011","5,88,261",,1
La Nota,La Nota,Manuel Turizo,10-08-2020,QZDYA1800024,"2,648",27.4,"56,09,49,285","80,872","3,71,92,436",64,"29,84,15,218","15,83,803","2,67,500","5,88,34,137","57,65,60,432","3,58,50,480",124,"22,639",,21,"17,81,933",49,"2,92,59,483","3,194",,"14,40,068",,0
Amor a Primera Vista,Amor a Primera Vista,Los ï¿½ï¿½ngeles Az,6/14/2019,MX1721901080,"2,644",27.4,"34,68,60,422","29,735","1,07,07,382",65,"88,81,38,257","24,32,863","18,009","48,33,780","7,35,88,039","2,94,26,957",32,"7,700",47,10,"72,268",16,"4,33,02,352","13,188",,"14,46,419",,0
Solo,Solo,Myles Smith,11/15/2023,UKXN22382205,"2,647",27.4,"9,57,47,052","18,521","2,37,70,824",,"1,39,90,236","1,98,993","1,907","6,04,177","90,54,387","4,59,35,756",29,"8,090",,44,"6,96,335",3,"1,76,881",306,"5,88,902","3,13,239",,0
UNFORGIVEN (feat. Nile Rodgers),UNFORGIVEN,LE SSERAFIM,05-01-2023,USA2P2310663,"2,639",27.4,"22,36,52,808","18,262","1,18,33,709",70,"12,90,99,788","20,78,161","85,400","7,53,12,218","70,50,88,821","26,66,76,222",29,"2,567",32,4,"24,189",38,"4,93,588",471,,"3,24,686",,0
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,Bonnadol,3/15/2023,THSOH2301617,"2,652",27.4,"4,78,756",207,"18,460",21,"50,28,021","4,866","20,00,000","1,37,77,952","19,33,47,455",,,,,,,,,,,"4,666",,0
Elini Ver,Elini Ver,Amo988,5/15/2024,TRBUL2400025,"2,637",27.4,"1,53,52,061",639,"56,01,320",72,"1,18,54,252","76,636",,,,,12,390,,2,"15,81,911",,,,,"1,30,733",,0
Sex Music,Sex Music,Tank,6/29/2010,USAT21001199,"2,638",27.4,"52,83,089",920,"4,03,273",30,"71,87,358","56,665",377,"21,957","4,82,153","7,38,617",2,99,,,,,"2,05,24,623","34,82,168",,"90,172",,0
Porfa,Porfa,Feid,12/13/2019,USUM71924087,"2,661",27.3,"39,61,84,710","62,515","1,62,14,167",65,"65,61,59,660","28,08,401",712,"2,16,831","17,96,651","4,55,47,242",43,"8,597",9,21,"1,26,240",17,"1,42,28,113","2,733",,"11,68,477",,0
P power (feat. Drake),DRIP SEASON 4EVER,Gunna,01-07-2022,QMCE32200042,"2,671",27.3,"30,71,22,295","91,786","1,77,84,294",69,"3,16,66,337","3,95,808","1,42,300","4,99,47,875","32,78,35,388","4,25,53,980",19,"3,448",154,11,"64,551",3,"1,48,40,512","9,645",,"11,32,723",,1
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Speak Now (Taylor's Version),Taylor Swift,07-07-2023,USUG12302091,"2,673",27.3,"24,70,56,218","19,231","1,67,23,973",69,"4,10,65,721","12,60,603","1,39,100","3,47,32,272","38,65,94,049","75,63,08,958",30,"21,779",3,13,"3,87,578",43,"31,33,286","2,751","2,83,563","4,59,379",,0
Derniï¿½ï¿½re d,Derniï¿½ï¿½re D,Indila,11/13/2013,FRUM71301049,"2,672",27.3,"41,07,83,411","84,509","1,07,69,145",72,"1,71,70,40,143","1,70,82,350","3,09,984","15,20,93,157","1,25,19,31,456","20,72,04,169",18,"12,131",,35,"63,08,639",2,"45,40,897","13,830",,"1,05,50,609",,0
Prada (Valexus Remix),Prada (feat. Valexus) [Valexus Remix],cassï¿,09-08-2023,GBCEN2300156,"2,667",27.3,"4,70,98,121","16,949","1,79,37,069",,,,,,,,4,321,,7,"3,429",5,"1,28,025",111,"93,16,214","1,85,116",,1
"A ver, a ver - Ric Piccolo Edit","A ver, a ver (Ric Piccolo Edit)",Donald,8/24/2022,GBUQH2200069,"2,666",27.3,"67,852",531,"98,875",10,"42,12,07,701","5,29,059",,,,,1,557,,,,,,,,,,0
Fight Song,Fight Song,Rachel Platten,12-02-2014,USSM11500753,"2,670",27.3,"89,77,94,289","92,326","4,72,54,001",69,"10,19,98,780","10,84,274","22,09,428","11,50,34,762","1,02,14,62,418","2,330",2,"1,17,518",507,20,"59,768",47,"47,09,21,326","6,87,787",,,,0
Pepas,Pepas - Single,Farruko,8/20/2022,QZN882262975,"2,974",27.3,"1,49,07,10,634",11,"1,849",,,,,,,,1,,,,,,,,,,,0
Satu Rasa Cinta,Satu Rasa Cinta - Single,Happy Asmara,12-03-2022,DGA082216479,"2,662",27.3,"34,51,208",248,"31,310",37,"1,01,65,956","42,703","24,10,953","1,14,83,292","31,90,66,421",,,12,,,,,,,,,,0
South of the Border (feat. Camila Cabello & Cardi B),South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,07-11-2019,GBAHS1900714,"2,665",27.3,"76,53,74,782","69,032","2,95,31,913",67,"41,91,50,011","38,38,603","77,443","60,20,979","4,31,99,667","17,13,57,012",109,"1,36,075",43,353,"7,48,613",32,"5,11,50,454","40,049","5,24,871","42,94,116",,0
Losing It,Losing It,FISHER,7/13/2018,CA5KR1821202,"2,668",27.3,"52,39,54,769","2,13,614","3,18,80,596",67,"9,69,92,359","9,15,175","44,648","3,28,97,654","31,30,69,043","54,71,148",102,"17,311",100,43,"3,49,670",36,"81,97,498","19,923",,"88,54,107",,0
MATHEMATICAL DISRESPECT,MATHEMATICAL DISRESPECT,Lil Mabu,05-05-2023,QZVEM2324634,"2,657",27.3,"16,56,42,949","39,238","33,56,524",62,"1,31,11,498","3,38,766","2,02,400","9,19,78,574","70,93,90,008","27,72,35,691",3,63,555,,,,"14,67,373","10,053",,"3,28,655",,1
Swervin (feat. 6ix9ine),Hoodie SZN,A Boogie Wit da Hoodie,12/21/2018,USAT21812918,"2,660",27.3,"81,52,43,082","1,40,617","1,83,81,330",66,"25,85,14,568","19,70,363","1,11,271","8,70,72,918","64,98,66,119","80,04,499",43,"3,857",47,12,"8,457",12,"9,46,70,283","67,712",,"13,28,950",,1
Dick (feat. Doja Cat),Dick (feat. Doja Cat),StarBoi3,4/23/2021,USRC12100749,"2,669",27.3,"24,74,62,687","55,580","1,24,51,213",61,"7,63,19,678","12,42,250","8,81,035","27,02,93,066","1,69,19,04,373","3,32,55,959",26,937,,5,"4,470",8,"37,87,909","12,036","1,71,09,367","39,37,642",,1
Perfect Strangers,Perfect Strangers,Jonas Blue,06-03-2016,GBUM71602437,"2,664",27.3,"1,05,02,46,077","1,13,716","2,80,88,689",69,"91,77,28,451","46,76,705","92,540","81,16,828","6,21,67,288","26,42,68,663",95,"64,388",,45,"6,26,313",5,"2,21,95,250","14,777",,"93,55,617",,0
Hey Brother,TRUE,Avicii,01-01-2013,CH3131340084,"2,663",27.3,"1,00,76,23,089","1,68,666","4,37,69,189",72,"93,68,16,983","71,35,806","82,215","1,64,52,743","16,06,76,196","18,82,46,082",57,"81,281",28,51,"1,51,326",13,"18,31,99,524","3,05,146",,"1,08,54,307",,0
Otra Noche,Otra Noche - Single,Los ï¿½ï¿½ngeles Az,11-11-2021,MX1722101437,"2,659",27.3,"23,88,49,559","26,517","1,14,75,144",64,"40,17,70,615","15,36,208","1,275","11,85,903","1,68,15,994","1,08,16,168",12,"12,312",211,13,"3,69,524",5,"36,90,918","2,072",,"8,85,927",,0
Yet To Come,Proof,BTS,06-10-2022,USA2P2226300,"2,656",27.3,"34,47,44,597","16,095","2,29,64,291",64,"26,49,15,434","1,50,60,408","3,59,475","12,20,10,208","97,30,86,190","55,91,65,676",28,"25,341",77,15,"3,04,852",8,"9,20,415",869,,"6,25,565",,0
When I'm Gone,When Iï¿½ï¿½ï¿½m Gone (with Katy ,Alesso,12/29/2021,USUG12106230,"2,658",27.3,"27,99,96,207","36,648","3,01,73,875",64,"4,27,05,657","6,91,402","1,943","9,77,042","1,93,67,991","1,08,73,14,726",71,"2,51,715",901,43,"7,50,115",44,"5,00,39,519","3,089",,"17,85,826",,0
Girlfriend,The Second Wave (Deluxe),Ruger,6/17/2022,GBARL2201233,"2,691",27.2,"5,66,70,689","18,344","18,64,537",16,"12,68,49,797","6,54,337","13,73,186","1,98,12,568","34,49,20,965","3,46,81,748",31,"6,751",1,2,"1,31,930",8,"5,29,966",444,,"21,42,023",,1
WATATI (feat. Aldo Ranks) [From Barbie The Album],WATATI (feat. Aldo Ranks) [From Barbie The Album],KAROL G,06-01-2023,USAT22305791,"2,680",27.2,"10,00,94,720","10,333","1,19,71,076",62,"11,47,62,460","8,34,616","3,89,200","3,45,07,211","68,68,76,114","26,04,422",,,183,12,"2,33,950",,"88,78,410",902,"3,05,973",,,0
911,911,Fuerza Regida,11/30/2022,QZ9QQ2200130,"2,676",27.2,"18,16,95,722","14,262","73,83,896",68,"18,89,04,937","7,81,510","2,70,390","10,46,65,493","1,07,91,56,243","65,064",8,"1,645",,3,"32,011",1,"2,30,76,731","5,904",,"5,67,312",,0
Always,NEVER ENOUGH,Daniel Caesar,04-07-2023,USUG12209355,"2,688",27.2,"28,17,07,091","40,049","1,65,37,367",74,"2,34,47,030","2,16,253","1,19,645","2,95,19,019","23,67,48,049","3,81,35,485",13,9,26,3,"2,038",5,"4,44,186",872,,"4,94,628",,1
YKWIM?,Bipolar,Yot Club,5/31/2019,CAGOO1966522,"2,681",27.2,"67,59,84,633","1,47,651","2,53,69,800",75,"11,85,64,792","18,98,029","1,56,693","16,82,64,666","88,20,48,158",182,8,10,,3,"39,672",11,"65,67,978","7,872","1,71,84,881","12,48,383",,0
Damage,Damage,H.E.R.,10/21/2020,USRC11903897,"2,686",27.2,"10,82,41,832","24,791","83,14,569",53,"20,67,73,555","12,96,813","1,64,089","1,12,38,095","12,26,57,966","3,26,26,219",82,"2,29,820",378,24,"6,06,294",29,"18,31,23,789","60,457",,"18,38,870",,0
Rags2Riches 2 (feat. Lil Baby),Pray 4 Love (Deluxe),Rod Wave,08-07-2020,USLD91728036,"2,687",27.2,"22,78,02,182","65,190","1,13,46,495",61,"6,97,18,488","7,22,875","20,19,064","10,53,11,337","74,99,06,169",,14,"82,591",101,3,"4,527",9,"7,62,74,129","39,356",,"5,34,826",,1
Bellyache,Bellyache,Billie Eilish,2/24/2017,USUM71615103,"2,679",27.2,"96,58,99,534","1,01,445","1,88,58,886",73,"83,47,05,559","1,05,23,313","50,459","4,20,91,450","28,70,94,813","8,45,32,929",76,"2,181",61,15,"2,08,011",32,"8,38,38,375","64,161",,"39,88,502",,0
No Wahala,No Wahala,1da Banton,07-02-2021,QZHZ52129395,"2,685",27.2,"15,40,10,050","66,808","44,09,868",63,"23,42,49,323","13,15,242","4,17,782","6,00,04,357","72,94,39,284","3,57,66,547",38,"8,575",129,13,"5,38,366",,"88,80,471","1,657",,"21,09,482",,0
Wait a Minute!,ARDIPITHECUS,WILLOW,01-11-2015,QMJMT1500801,"2,678",27.2,"1,08,10,39,358","2,20,073","4,17,52,381",73,"42,27,09,495","52,34,949","16,20,541","27,56,64,623","2,05,10,79,047","70,203",65,"14,873",,31,"3,08,544",17,"3,12,08,630","67,960",,"73,44,889",,0
HONEY BEES,HONEY BEES - Single,Hachi,02-06-2023,TCJPU2362002,"2,675",27.2,"4,23,395",229,"2,853",29,"31,65,23,235","10,71,321","31,700","23,92,537","1,42,42,780","1,21,017",,1,,,,,,,,314,,0
Gypsy,Gypsy,G.D. Kaur,05-10-2022,FR96X2229645,"2,682",27.2,"5,89,89,412","4,708","10,55,037",3,"45,74,35,947","26,65,092",475,"34,450","7,56,707",,,3,,,,,,,,"1,16,513",,0
Ojos Marrones,Ojos Marrones,Lasso,06-03-2022,MXUM72200528,"2,690",27.2,"37,09,88,405","33,800","1,22,28,512",68,"6,91,84,223","5,32,555","8,56,300","14,21,79,351","1,61,45,54,007","80,243",23,"50,826",392,9,"88,374",36,"3,32,657","2,595",,"10,87,892",,0
WASTE,DISORDER,Kxllswxtch,10/29/2021,USUYG1393224,"2,684",27.2,"27,20,51,636","64,633","1,15,50,020",72,"3,97,51,949","8,18,015","2,98,019","18,07,86,694","1,31,42,32,560",,3,38,,,,,"3,99,622","1,480","1,56,77,219","14,47,289",,1
512,Primer Dia de Clases,Mora,02-05-2021,QM4TW2165662,"2,674",27.2,"47,58,20,416","85,784","2,86,17,350",70,"27,01,22,797","17,14,650","1,10,300","5,31,72,890","36,93,08,687","4,10,79,392",30,"7,754",76,8,"62,828",15,"31,89,429","2,491",,"6,98,305",,1
MTG MALDIï¿½ï¿½ï¿½ï¿½O ET,MTG MALDIï¿½ï¿½ï¿½ï¿½O ET,DJ GLK,08-05-2022,BXIV82279381,"2,689",27.2,,"6,258","12,13,114",,,,"28,09,514","9,79,60,938","1,39,62,51,598",,,,,,,,,,,,,1
Little Things x Gypsy Woman - L BEATS MASHUP,Little Things x Gypsy Woman (L BEATS MASHUP),Jorja Smith,6/30/2023,QM7282376030,"2,677",27.2,"12,36,27,077","39,465","4,44,25,341",71,,,"4,200","10,46,261","1,92,31,842",,13,"15,034",,30,"5,49,938",13,"15,420",191,,"4,20,572",,0
Wake Up (feat. Chris Brown),Wake Up (feat. Chris Brown),Skylar Blatt,4/26/2024,USAR12300479,"2,683",27.2,"80,40,021","1,100","63,40,545",,"41,52,404","1,15,149",,,,"1,62,04,986",13,"14,072",37,2,623,11,"21,66,042",394,"1,39,022","1,60,973",,1
Sï¿½ï¿½guelo Bail,Odisea,Ozuna,8/25/2017,USXDR1700560,"2,705",27.1,"54,47,55,640","58,066","1,69,86,234",66,"1,07,00,75,376","40,32,330","1,34,206","2,42,77,629","17,42,67,433","14,57,33,049",27,"4,826",,12,"55,568",14,"10,27,69,166","16,556",,"22,12,531",,0
Arranca (feat. Omega),Arranca (feat. Omega),Becky G,03-10-2023,USRC12300209,"2,699",27.1,"16,11,72,707","23,604","2,34,67,570",66,"5,23,52,229","3,53,891","33,264","71,84,433","14,02,40,096","65,07,698",48,"71,615",534,45,"19,78,100",35,"1,24,62,344","1,009","37,415","13,64,052",,0
The Family Madrigal,Encanto (Original Motion Picture Soundtrack),Stephanie Beatriz,11/19/2021,USWD12112911,"2,698",27.1,"21,79,19,853","22,687","1,15,27,473",63,"35,13,86,257","17,58,940","1,89,071","13,58,00,782","1,06,74,04,078","11,70,35,357",19,714,,1,"81,124",9,"4,50,64,909","42,262",,"1,43,875",,0
Hasta Abajo,Hasta Abajo,KEVIN ROLDAN,7/26/2019,USUM71913434,"2,702",27.1,"38,03,67,132","62,939","1,15,76,619",64,"66,37,05,750","30,83,081","5,42,284","6,50,38,406","49,55,01,340","10,92,11,682",27,"2,027",,8,"59,407",1,"10,82,805","1,980",,"13,89,750",,0
Flawlï¿½ï¿½ss (feat. Lil Uzi V,Lyfï¿,Yeat,09-09-2022,USUM72217061,"2,701",27.1,"23,35,73,513","67,981","86,74,549",69,"3,93,31,190","4,79,798","34,666","2,02,75,957","12,26,12,542","18,57,05,404",12,25,72,3,"1,26,922",4,"4,66,511","3,737",,"6,47,093",,1
Praise Jah in the Moonlight,Praise Jah in the Moonlight - Single,Uzii BigTalk,12/25/2023,TCAHS2392343,"2,694",27.1,,121,660,,,,,"73,81,338","9,47,98,200",,,"42,282",,,,,,,,"38,63,739",,1
Bon appï¿½ï¿,Bon Appï¿½ï¿,Katy Perry,4/28/2017,USUM71702488,"2,700",27.1,"28,08,98,252","32,458","91,12,382",60,"1,39,67,56,746","86,74,599","17,923","1,18,96,504","13,75,26,328","20,15,28,139",47,"8,188",,27,"1,39,079",11,"37,12,696","13,608",,"25,60,144",,0
I'm the One,EPIC AF,DJ Khaled,01-01-2017,USSM11703300,"2,704",27.1,"1,25,70,29,279","1,22,763","2,95,82,588",67,"7,74,75,141","9,82,093","4,75,433","1,65,01,624","13,41,70,742","14,88,303",143,"42,076",28,72,"4,45,792",44,"40,92,46,415","3,56,341","63,32,764",,,1
Stay With Me,Candy Baby,1nonly,7/30/2020,TCAFE2016912,"2,693",27.1,"39,89,42,581","99,939","1,10,61,124",68,"23,15,53,878","32,75,110","7,99,566","11,16,36,857","1,05,48,13,567","5,26,856",3,5,,,,,"33,86,783","2,811",,"11,02,075",,1
Typa Girl,BORN PINK,BLACKPINK,9/16/2022,KRA402200021,"2,697",27.1,"35,70,54,107","20,864","1,02,26,449",66,"19,97,10,937","25,49,362","2,25,000","9,43,13,386","79,02,29,870","11,78,07,648",5,"1,109",14,2,"80,569",7,"17,90,458","2,002","16,04,862","3,59,205",,1
Ayy Macarena,Ayy Macarena,Tyga,11/13/2019,USQX91903309,"2,703",27.1,"41,73,11,779","1,06,485","1,17,27,622",61,"32,51,05,642","50,43,313","4,75,505","9,41,85,459","1,00,17,63,796","4,00,73,954",59,"1,555",,42,"1,52,402",3,"1,76,78,350","42,187",,"37,73,690",,1
ELA PIROU NA DODGE RAM,ELA PIROU NA DODGE RAM - Single,Luan Pereira,3/17/2023,BCX5C2300005,"2,692",27.1,"14,94,55,007","13,028","1,20,83,352",17,"18,50,77,693","9,90,325","1,01,800","2,23,95,889","27,27,23,903","32,54,27,233",2,10,,20,"9,88,870",9,202,,"10,27,748","53,011",,1
Like What (Freestyle),Like What (Freestyle),Cardi B,03-01-2024,USAT22401675,"2,696",27.1,"2,34,75,715","2,809","1,42,22,754",,"2,17,10,598","4,76,670",,"32,70,800","2,73,73,700","6,48,487",21,"5,417",120,14,"1,76,615",31,"93,13,905","2,075","10,46,901","1,64,762",,1
Party In The U.S.A.,The Time Of Our Lives (International Version),Miley Cyrus,01-01-2009,USHR10924519,"2,695",27.1,"1,58,71,14,096","2,10,519","14,71,25,974",76,"99,35,29,828","45,26,606","4,28,033","4,97,02,880","33,87,81,002","29,24,78,893",185,"1,23,744",578,56,"17,08,084",33,"31,35,63,554","5,35,359",,"39,60,920",,0
Wet Dreamz,2014 Forest Hills Drive,J. Cole,12-09-2014,USQX91402592,"2,724",27,"1,24,48,64,869","2,47,570","4,37,78,928",76,"28,01,51,086","23,26,991","17,325","72,47,082","4,94,60,597","1,97,21,123",18,"15,604",29,17,"2,19,251",12,"31,10,23,511","1,28,771",,"27,69,408",,1
Dhani Ho Sab Dhan,Dhani Ho Sab Dhan,Pawan Singh,1/31/2023,INS7A2352922,"2,709",27,"13,32,230",592,"95,570",,"30,78,38,128","15,28,273","4,972","1,62,043","22,78,729",,,,,,,,,,,"7,289",,0
Next Level,Next Level,aespa,5/17/2021,KRA302100169,"2,715",27,"24,53,84,123","26,925","99,40,497",68,"51,41,92,282","61,29,641","94,211","9,89,35,007","69,31,49,332","17,15,06,164",41,"5,409",43,2,"5,767",33,"9,72,338","1,538",,"5,47,626",,0
Whiskey Glasses,The Way I Talk,Morgan Wallen,7/29/2016,QZ22S1500059,"2,712",27,"80,67,28,296","86,002","1,76,65,355",75,"42,94,23,484","19,44,017","80,672","77,19,684","7,48,90,093","56,15,54,996",39,"1,66,568",8,3,"2,872",21,"37,37,12,957","2,30,218",,"22,04,392",,0
Bado Badi,Bado Badi,Chahat Fateh Ali Khan,4/23/2024,GX5PW2400002,"2,708",27,"9,01,007",18,713,,"3,10,08,582","4,37,421",,,,,,5,,,,,,,,,,0
Esta Vida,Esta Vida - Single,Marshmello,4/13/2023,USSD12300013,"2,719",27,"9,43,59,848","23,027","2,65,30,704",61,"6,60,93,104","5,58,819","52,600","6,45,712","1,35,15,544","11,25,44,154",37,"53,605",,51,"7,59,785",17,"54,55,072","1,197",,"11,95,281",,0
Dusk Till Dawn - Radio Edit,Dusk Till Dawn (Radio Edit),ZAYN,09-07-2017,USRC11702155,"2,710",27,"1,68,76,83,940","1,77,653","4,43,26,008",75,"27,84,613","49,443",,,,,117,"40,945",,115,"6,01,297",10,"3,62,35,122","54,088",,"2,04,00,952",,0
Shotta Flow [Remix],Shotta Flow (feat. Blueface) [Remix],NLE Choppa,6/20/2019,QZ85M1951467,"2,720",27,"49,63,44,788","1,14,433","1,13,12,277",21,"47,66,56,319","51,23,098","12,478","39,03,832","3,12,36,119","21,41,91,265",5,"2,172",,6,"30,933",,"1,04,90,739","36,718",,"6,11,475",,1
Bolide allemand,Liens du 100,SDM,12-01-2022,FRUM72202503,"2,711",27,"15,25,46,936","33,014","48,83,069",68,"12,96,55,800","5,10,676","97,575","48,00,473","5,46,47,905","8,76,31,959",32,"6,839",,23,"54,08,422",12,,,,"13,90,093",,1
Amor Tumbado,Mi Nuevo Yo,Natanael Cano,12/24/2019,USDXS1911811,"2,706",27,"41,37,43,535","39,980","70,03,058",73,"42,06,69,522","27,12,590","1,43,494","2,23,05,613","15,24,31,204","1,59,59,347",19,210,42,5,"36,707",15,"3,18,04,920","42,137","2,53,93,281","7,50,571",,0
New Gold (feat. Tame Impala and Bootie Brown),New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,8/31/2022,GBAYE2200462,"2,723",27,"15,53,99,041","62,013","1,37,10,934",60,"3,24,81,842","6,84,033","21,669","1,15,44,855","13,58,32,597","14,24,027",26,"53,724",44,14,"1,28,215",32,"58,95,530","1,892",,"5,62,309",,1
MANIAC,The 4th Mini Album 'VERSUS',VIVIZ,11-02-2023,KRA382321414,"2,718",27,"7,75,90,300","6,575","61,27,218",,"9,41,72,195","7,38,147","3,247","2,29,42,690","17,00,46,435","57,27,20,093",7,,,1,"1,51,363",,,,,"1,68,452",,0
Don't Mind,EPIC AF,Kent Jones,01-01-2016,USSM11603011,"2,725",27,"41,61,47,244","59,100","1,01,61,185",59,"17,91,43,462","15,67,574","61,49,383","3,82,01,187","18,89,10,778","5,14,85,355",72,264,,17,"71,207",2,"27,13,79,282","1,86,183",,"75,77,629",,1
Dientes,Dientes,J Balvin,9/15/2023,QZM5U2300388,"2,721",27,"3,86,22,215","13,808","1,27,99,845",4,"1,64,45,144","2,47,700","1,894","27,05,205","5,91,18,842","10,09,31,285",29,"61,312",685,30,"4,98,777",17,"11,06,891",375,,"15,17,721",,1
