Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
NARCISSISTIC PERSONALITY DISORDER,Narcissistic Personality Disorder - Single,Odetari,04-01-2023,QZHN62339350,"3,248",24.1,"18,31,62,195","30,174","50,50,179",69,"4,51,92,343","6,34,145","1,66,309","3,70,85,192","22,90,93,751",,1,7,,,,,"4,93,769","1,560","3,76,683","4,69,880",,1
Memory Lane,Memory Lane - Single,Old Dominion,01-05-2023,USAN22200051,"3,260",24.1,"11,60,35,112","12,404","62,17,052",61,"1,15,37,522","78,076","3,454","5,86,409","1,04,90,564","15,13,76,171",35,"1,52,815",378,5,"88,483",30,"5,17,84,536","5,255",,"3,12,027",,0
24 (feat. Lil Baby),24 (feat. Lil Baby),Money Man,8/14/2020,USUYG1327132,"3,267",24.1,"39,07,33,154","1,05,426","1,26,10,976",64,"13,13,72,042","11,14,310","7,376","25,06,375","2,46,93,976","41,05,289",49,43,40,,,2,"7,66,15,431","34,462",,,,1
THE SHADE,WHO CARES?,Rex Orange County,03-11-2022,USRC12102927,"3,263",24.1,"35,04,27,750","49,991","1,43,12,352",71,"12,42,15,789","7,37,982","2,04,742","6,15,04,934","56,92,63,172","54,41,15,326",15,"15,807",,10,"36,767",13,"3,97,851",508,,"4,77,438",,0
You,You,Regard,4/16/2021,GBCEN2100035,"3,249",24.1,"31,31,44,836","59,063","1,86,46,872",62,"6,33,77,694","5,05,563","53,473","94,02,727","10,50,02,413","93,85,389",153,"1,22,148",285,53,"4,31,971",47,"10,17,41,112","10,653",,"22,93,223",,1
Thinking out Loud,Full Circle: The Live Anthology,Ed Sheeran,11/20/2011,GBAHS1400099,"3,253",24.1,"2,50,29,25,593","2,12,574","11,90,20,197",76,"43,07,71,444","33,99,564","1,68,386","6,35,93,438","54,89,33,681","2,56,54,740",360,"1,97,343",100,346,"11,60,637",80,,,,"2,69,04,347",,0
Cake By The Ocean - Cover,COOL & POP HIT CHART!!,LOVE BGM JPN,3/20/2023,TCJPU2397752,"3,329",24.1,,,,,,,,,,,,,,,,,,,,,,1
Mbappe,"SEN2 KBRN, VOL. 2",Eladio Carrion,11/18/2022,QMDA72266870,"3,250",24.1,"20,47,30,798","35,882","40,07,932",68,"9,41,05,710","7,01,021","1,53,900","4,50,43,047","41,12,86,349","26,72,924",12,"4,737",836,6,"83,143",9,"11,56,454",799,,"2,58,504",,1
Maria,Marï¿½,HWASA,6/29/2020,KRA382002246,"3,258",24.1,"28,09,01,994","31,034","66,94,945",63,"48,95,18,287","87,70,696","8,54,500","10,01,99,461","94,85,94,062","1,40,11,677",6,"3,915",7,6,"43,233",20,"22,48,413","3,097",,"1,26,970",,0
PRIMER AVISO,PRIMER AVISO - Single,Maria Becerra,2/29/2024,USWL12400615,"3,244",24.1,"2,85,63,790","1,755","80,72,460",19,"4,03,33,378","4,20,833",,"2,05,870","14,23,100","15,90,95,018",2,"4,075",,14,"4,39,014",19,"1,11,604",,,"59,172",,0
Butakera,Butakera,La Joaqui,7/28/2022,ARACN2200009,"3,259",24.1,"12,73,92,768","22,713","65,40,862",59,"12,97,25,858","5,58,219","8,97,800","28,06,90,579","2,96,62,43,206","75,95,234",5,"1,253",,8,"41,707",5,"39,938",55,,"2,82,479",,0
Savage,Savage - The 1st Mini Album - EP,aespa,10-05-2021,KRA302100326,"3,247",24.1,"22,24,00,657","19,680","98,54,978",68,"39,98,07,694","52,39,967","1,13,542","14,11,53,423","93,62,85,256","14,59,24,225",21,"3,257",148,1,"4,799",17,"5,77,999",666,,"4,00,154",,0
Destino o casualidad (feat. Ha*Ash),Destino o casualidad (feat. Ha*Ash) - Single,Melendi,05-01-2018,ES5151801626,"3,257",24.1,,,,,"1,26,04,31,361","36,43,373",,,,"73,81,198",14,,,,,,,,,"11,42,692",,0
Mad at Disney,Mad at Disney,salem ilese,6/24/2020,QMEZE2076989,"3,265",24.1,"33,56,04,759","47,721","92,09,948",3,"15,58,02,565","38,46,286","19,61,193","34,09,37,251","2,75,99,03,957","16,44,734",39,"21,424",,272,"26,241",1,"2,53,37,036","48,345",,"10,08,719",,0
TE AMO ï¿½,TE AMO ï¿½,Fer Vazquez,4/30/2024,ARC082400003,"3,264",24.1,"57,90,738",369,"34,88,921",64,"2,04,89,530","1,59,632",,,,"1,65,82,955",1,"1,068",,6,"2,98,082",4,"2,039",11,,"27,697",,0
Dilemma,Dilemma,Green Day,12-07-2023,USRE12201093,"3,268",24.1,"1,59,87,089","4,424","53,06,843",,"40,35,815","1,11,954",,,,"1,73,09,20,237",9,"72,182",64,7,"1,93,338",21,"10,51,867",256,,"1,83,738",,0
Kitchen Stove,Kitchen Stove,Pozer,2/23/2024,GBARL2400167,"3,266",24.1,"2,03,95,364","3,841","67,46,386",,"52,80,055","70,627",,,,"2,44,44,704",4,974,,5,"2,20,079",16,,,"34,72,834","54,940",,1
Luchtballon,Luchtballon,Joost,06-04-2024,NL4TG2400013,"3,251",24.1,"47,94,950",498,"28,96,644",67,"34,52,898","1,70,142",,,,"20,75,242",3,69,,3,"2,81,784",2,646,,,"12,447",,0
Trojan Horse,Split Decision,Dave,06-04-2023,GBUM72305707,"3,252",24.1,"7,65,10,509","35,841","33,67,961",64,"1,17,34,153","1,15,504",61,"5,249","76,912","5,542",30,127,,3,"2,89,994",4,"1,51,911",164,"23,13,730","1,38,675",,1
Porque Te Vas,Porque Te Vas,Victor Cibrian,04-05-2024,QZ9QQ2400258,"3,262",24.1,"3,14,38,986","1,429","2,16,71,170",74,"2,14,90,653","2,39,191","3,514",,,,1,8,,2,"10,76,696",,"91,422",300,"59,394","2,12,412",,0
Neon Pill,Neon Pill,Cage The Elephant,1/19/2024,USRC12303405,"3,261",24.1,"1,20,32,878","3,204","66,64,877",,"16,83,275","38,016",,,,"1,72,76,700",14,"58,674",52,10,"85,262",22,"20,22,938",296,,"1,20,938",,0
Beautiful Girl,Beautiful Girl,Luciano,4/28/2022,DECE72201083,"3,255",24.1,"19,15,69,959","73,054","41,31,980",57,"5,55,09,965","4,48,500",690,"1,23,23,369","12,97,18,183","8,00,52,391",16,"12,300",,13,"1,01,700",7,611,,"1,56,739","3,43,759",,0
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)","After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis,01-12-2018,GBUM71706492,"3,256",24.1,"58,98,32,336","1,39,494","2,04,87,412",74,"20,86,32,840","24,26,614","43,833","2,19,45,800","11,89,52,804","5,85,06,780",88,"2,371",,31,"1,01,096",21,"1,95,61,450","14,137","2,41,78,574","18,00,184",,0
Tï¿½ï¿½ Me Dejaste De Qu,Tï¿½ï¿½ Me Dejaste De Querer (feat. Niï¿½ï¿½o de Elche & La ,C. Tangana,11-05-2020,ES5022000718,"3,277",24,"40,19,79,272","80,139","1,51,98,667",66,"23,67,19,624","16,67,710","1,01,915","1,87,51,200","20,30,30,554","8,68,21,613",75,"15,171",6,33,"3,64,216",13,"2,32,813",694,"11,33,646","17,50,278",,0
Spotless (feat. The Lumineers),Spotless (feat. The Lumineers),Zach Bryan,8/24/2023,USWB12304905,"3,271",24,"15,76,76,395","21,485","54,29,963",76,"50,25,676","28,970","3,492","3,08,886","23,59,449","39,48,452",13,"8,672",302,4,"5,15,925",59,"1,24,86,187","3,596","11,23,740","1,18,515",,1
These Walls,Radical Optimism,Dua Lipa,05-03-2024,GBAHT2400111,"3,284",24,"3,77,89,672","2,484","4,90,70,048",,,,,,,"5,60,04,473",34,"3,623",,35,"15,17,880",49,"26,56,320",165,,"48,447",,1
Egwu,Egwu,Chike,12/15/2023,QZW9L2379698,"3,272",24,"3,51,19,540","2,907","70,78,317",66,"4,55,26,146","3,93,618",,"1,14,83,596","16,36,24,449","13,82,86,932",24,"1,944",,4,"6,12,699",16,,,,"19,58,847",,0
Die For You (Remix Acapella),Die For You (Remix Acapella) - Single,The Weeknd,03-02-2023,USUG12301604,"3,281",24,,,,,,,,,,,,"2,80,002",,,,,,,,,,0
Me Rehï¿½ï,Me Rehï¿½ï,Danny Ocean,9/16/2016,USWL11700128,"3,274",24,"1,77,97,60,815","90,161","3,76,56,145",69,"73,42,59,158","36,24,282","5,13,775","5,05,87,031","37,18,99,383","6,608",136,"23,294",82,57,"14,37,169",6,,,,,,0
